label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y
2029,36.0808784,140.0797474,,171.488051,2,2,0,0,1,-1,303.333218503807,-236.631841579324
2030,36.080846,140.0797534,,170.237778,2,2,0,0,1,-1,303.873005349145,-240.238593080463
2031,36.0808103,140.079761,,169.048074,2,2,0,0,1,-1,304.556735355286,-244.212698902348
2032,36.0807748,140.0797695,,165.177696,2,2,0,0,1,-1,305.321433388738,-248.164540825023
2033,36.0807409,140.0797806,,154.369165,2,2,0,0,1,-1,306.320039054659,-251.938271563512
2034,36.0807094,140.0797993,,155.980493,2,2,0,0,1,-1,308.002374726721,-255.444835523348
2035,36.0806773,140.079817,,155.873262,2,2,0,0,1,-1,309.594745924559,-259.018191177649
2036,36.080645,140.0798349,,155.413089,2,2,0,0,1,-1,311.20511001622,-262.613810730369
2037,36.0806125,140.0798533,,148.030975,2,2,0,0,1,-1,312.860456347549,-266.231694180717
2038,36.0805844,140.079875,,130.106794,2,2,0,0,1,-1,314.812685442279,-269.359771872178
2039,36.0805618,140.0799082,,89.001582,2,2,0,0,1,-1,317.799505995688,-271.87559236424
2040,36.0805624,140.0799508,,72.811406,2,2,0,0,1,-1,321.631992607305,-271.808800669774
2041,36.0805734,140.0799948,,73.145138,2,2,0,0,1,-1,325.590429480789,-270.584286270976
2042,36.0805841,140.0800385,,72.883966,2,2,0,0,1,-1,329.521877016097,-269.393167719806
2043,36.0805952,140.0800831,,74.307783,2,2,0,0,1,-1,333.53429257616,-268.157521371798
2044,36.0806046,140.0801245,,75.037757,2,2,0,0,1,-1,337.258821817175,-267.111118157978
2045,36.0806146,140.0801708,,73.885673,2,2,0,0,1,-1,341.424176984951,-265.997923250483
2046,36.0806245,140.0802132,,72.405124,2,2,0,0,1,-1,345.238670702746,-264.895860291406
2047,36.0806357,140.0802569,,72.065574,2,2,0,0,1,-1,349.170118235497,-263.64908199498
2048,36.080647,140.0803001,,75.128496,2,2,0,0,1,-1,353.056583531136,-262.391171748553
2049,36.0806564,140.0803439,,70.979375,2,2,0,0,1,-1,356.997027513355,-261.344768535524
2050,36.0806676,140.0803841,,69.257458,2,2,0,0,1,-1,360.613599386325,-260.097990238307
2051,36.0806807,140.0804269,,73.005538,2,2,0,0,1,-1,364.464078891764,-258.639704909274
2052,36.080691,140.0804686,,74.454318,2,2,0,0,1,-1,368.215597476069,-257.49311415336
