label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,,,,,,,,,,,,,,,,
1081,36.0809727,140.0806053,,315.271223,2,2,0,0,1,-1,380.513741134573,-226.134413597445,,,,,,,,,,,,,,,,
1082,36.0809984,140.0805738,,315.822061,2,2,0,0,1,-1,377.679860188877,-223.273502683846,,,,,,,,,,,,,,,,
1083,36.0810241,140.0805429,,310.725854,2,2,0,0,1,-1,374.899957927203,-220.412591770247,,,,,,,,,,,,,,,,
1084,36.0810472,140.0805097,,311.505186,2,2,0,0,1,-1,371.913137376351,-217.841111532929,,,,,,,,,,,,,,,,
1085,36.0810708,140.0804767,,317.315252,2,2,0,0,1,-1,368.944309719321,-215.213971550354,,,,,,,,,,,,,,,,
1086,36.0810963,140.0804476,,312.946684,2,2,0,0,1,-1,366.326343512271,-212.375324535174,,,,,,,,,,,,,,,,
1087,36.0811215,140.0804141,,323.033479,2,2,0,0,1,-1,363.31253361813,-209.570073366831,,,,,,,,,,,,,,,,
1088,36.0811506,140.080387,,325.929814,2,2,0,0,1,-1,360.874496362083,-206.330676184858,,,,,,,,,,,,,,,,
1089,36.0811794,140.0803629,,340.775296,2,2,0,0,1,-1,358.706352526149,-203.124674850512,,,,,,,,,,,,,,,,
1090,36.0812137,140.0803481,,349.592043,2,2,0,0,1,-1,357.374878304069,-199.306416315977,,,,,,,,,,,,,,,,
1091,36.0812401,140.0803421,,14.665266,2,2,0,0,1,-1,356.835091458731,-196.367581759494,,,,,,,,,,,,,,,,
1092,36.0812506,140.0803455,,349.879612,2,2,0,0,1,-1,357.1409706716,-195.198727105952,,,,,,,,,,,,,,,,
1093,36.0812669,140.0803419,,7.671401,2,2,0,0,1,-1,356.817098564909,-193.384219406173,,,,,,,,,,,,,,,,
1094,36.0812687,140.0803422,,1.064370,2,2,0,0,1,-1,356.844087905642,-193.183844322777,,,,,,,,,,,,,,,,
1095,36.0812774,140.0803424,,8.473246,2,2,0,0,1,-1,356.86208080202,-192.215364752631,,,,,,,,,,,,,,,,
1096,36.0812991,140.0803464,,0.989334,2,2,0,0,1,-1,357.221938698912,-189.799731802663,,,,,,,,,,,,,,,,
1097,36.0813225,140.0803469,,8.935674,2,2,0,0,1,-1,357.266920936024,-187.194855717716,,,,,,,,,,,,,,,,
1098,36.0813482,140.0803519,,2.333435,2,2,0,0,1,-1,357.716743307139,-184.333944804117,,,,,,,,,,,,,,,,
1099,36.0813601,140.0803525,,11.919699,2,2,0,0,1,-1,357.770721993718,-183.009242864016,,,,,,,,,,,,,,,,
1100,36.0813735,140.080356,,3.774561,2,2,0,0,1,-1,358.085597653499,-181.517561687355,,,,,,,,,,,,,,,,
1101,36.0813833,140.0803568,,12.858310,2,2,0,0,1,-1,358.1575692339,-180.426630677488,,,,,,,,,,,,,,,,
1102,36.0813964,140.0803605,,0.504677,2,2,0,0,1,-1,358.490437787503,-178.968345348456,,,,,,,,,,,,,,,,
1103,36.0814331,140.0803609,,0.378512,2,2,0,0,1,-1,358.526423577703,-174.882920036059,,,,,,,,,,,,,,,,
1104,36.0814698,140.0803612,,357.583887,2,2,0,0,1,-1,358.553412920993,-170.797494723661,,,,,,,,,,,,,,,,
1105,36.0814947,140.0803599,,7.087521,2,2,0,0,1,-1,358.43645910348,-168.025639402946,,,,,,,,,,,,,,,,
1106,36.0814986,140.0803605,,3.136207,2,2,0,0,1,-1,358.490437787503,-167.591493389316,,,,,,,,,,,,,,,,
1107,36.0815045,140.0803609,,12.604397,2,2,0,0,1,-1,358.526423577703,-166.934708393079,,,,,,,,,,,,,,,,
1108,36.0815298,140.0803679,,0.944920,2,2,0,0,1,-1,359.156174899821,-164.118325276318,,,,,,,,,,,,,,,,
1109,36.0815396,140.0803681,,9.246562,2,2,0,0,1,-1,359.174167793643,-163.02739426645,,,,,,,,,,,,,,,,
1110,36.0815535,140.0803709,,356.995920,2,2,0,0,1,-1,359.42606832249,-161.480053344534,,,,,,,,,,,,,,,,
1111,36.0815689,140.0803699,,9.865748,2,2,0,0,1,-1,359.336103848267,-159.765733186058,,,,,,,,,,,,,,,,
1112,36.0815847,140.0803733,,349.551949,2,2,0,0,1,-1,359.641983061137,-158.006885231535,,,,,,,,,,,,,,,,
1113,36.0816202,140.0803652,,352.455007,2,2,0,0,1,-1,358.913270817885,-154.05504330886,,,,,,,,,,,,,,,,
1114,36.0816562,140.0803593,,332.046397,2,2,0,0,1,-1,358.382480419458,-150.047541640138,,,,,,,,,,,,,,,,
1115,36.0816894,140.0803375,,349.473708,2,2,0,0,1,-1,356.421254875259,-146.351734545324,,,,,,,,,,,,,,,,
1116,36.0817255,140.0803292,,354.522911,2,2,0,0,1,-1,355.674549738185,-142.333100928183,,,,,,,,,,,,,,,,
1117,36.0817373,140.0803278,,5.539296,2,2,0,0,1,-1,355.548599473762,-141.0195309365,,,,,,,,,,,,,,,,
1118,36.0817473,140.080329,,355.220927,2,2,0,0,1,-1,355.656556844364,-139.906336029005,,,,,,,,,,,,,,,,
1119,36.081785,140.0803251,,4.862517,2,2,0,0,1,-1,355.305695391826,-135.709591226095,,,,,,,,,,,,,,,,
1120,36.0817869,140.0803253,,7.121381,2,2,0,0,1,-1,355.323688288204,-135.498084193489,,,,,,,,,,,,,,,,
1121,36.0818076,140.0803285,,3.899220,2,2,0,0,1,-1,355.611574607252,-133.193770734033,,,,,,,,,,,,,,,,
1122,36.0818159,140.0803292,,20.617307,2,2,0,0,1,-1,355.674549738185,-132.269818960725,,,,,,,,,,,,,,,,
1123,36.0818507,140.0803454,,26.020507,2,2,0,0,1,-1,357.131974224689,-128.395900680934,,,,,,,,,,,,,,,,
1124,36.0818853,140.0803663,,48.672319,2,2,0,0,1,-1,359.012231739019,-124.544246299561,,,,,,,,,,,,,,,,
1125,36.0819079,140.0803981,,57.389404,2,2,0,0,1,-1,361.873102028004,-122.028425807499,,,,,,,,,,,,,,,,
1126,36.0819276,140.0804362,,76.958147,2,2,0,0,1,-1,365.300748503061,-119.835431838555,,,,,,,,,,,,,,,,
1127,36.0819355,140.0804784,,88.084614,2,2,0,0,1,-1,369.097249327034,-118.956007861294,,,,,,,,,,,,,,,,
1128,36.0819367,140.0805228,,92.760001,2,2,0,0,1,-1,373.091671990718,-118.822424472363,,,,,,,,,,,,,,,,
1129,36.0819349,140.080569,,93.263514,2,2,0,0,1,-1,377.248030711584,-119.022799555759,,,,,,,,,,,,,,,,
1130,36.0819329,140.0806124,,97.693071,2,2,0,0,1,-1,381.152488903602,-119.245438537575,,,,,,,,,,,,,,,,
1131,36.0819279,140.0806582,,90.328202,2,2,0,0,1,-1,385.27286183171,-119.802035991718,,,,,,,,,,,,,,,,
1132,36.0819277,140.0807014,,98.584687,2,2,0,0,1,-1,389.159327127349,-119.824299889346,,,,,,,,,,,,,,,,
1133,36.0819221,140.0807473,,98.599788,2,2,0,0,1,-1,393.288696504924,-120.447689037954,,,,,,,,,,,,,,,,
1134,36.0819166,140.0807923,,101.281272,2,2,0,0,1,-1,397.337097855188,-121.059946237353,,,,,,,,,,,,,,,,
1135,36.0819097,140.0808351,,94.522682,2,2,0,0,1,-1,401.187577363184,-121.828050724102,,,,,,,,,,,,,,,,
1136,36.0819069,140.0808789,,85.386385,2,2,0,0,1,-1,405.128021342846,-122.139745298011,,,,,,,,,,,,,,,,
1137,36.0819099,140.0809249,,65.300965,2,2,0,0,1,-1,409.266387167332,-121.805786825684,,,,,,,,,,,,,,,,
1138,36.0819254,140.0809666,,56.179920,2,2,0,0,1,-1,413.017905751637,-120.080334718789,,,,,,,,,,,,,,,,
1139,36.081945,140.0810028,,52.752600,2,2,0,0,1,-1,416.274619727715,-117.898472699055,,,,,,,,,,,,,,,,
1140,36.0819662,140.0810373,,31.969734,2,2,0,0,1,-1,419.37839409608,-115.538499494343,,,,,,,,,,,,,,,,
1141,36.0819965,140.0810607,,30.408196,2,2,0,0,1,-1,421.483562798524,-112.165518923438,,,,,,,,,,,,,,,,
1142,36.0820133,140.0810729,,1.714488,2,2,0,0,1,-1,422.581129385579,-110.295351477612,,,,,,,,,,,,,,,,
1143,36.0820214,140.0810732,,5.768555,2,2,0,0,1,-1,422.608118728869,-109.393663602723,,,,,,,,,,,,,,,,
1144,36.0820262,140.0810738,,5.768555,2,2,0,0,1,-1,422.662097412891,-108.859330046208,,,,,,,,,,,,,,,,
1145,36.0820262,140.0810738,,2.570773,2,2,0,0,1,-1,422.662097412891,-108.859330046208,,,,,,,,,,,,,,,,
1146,36.0820316,140.0810741,,357.108396,2,2,0,0,1,-1,422.689086756181,-108.258204796018,,,,,,,,,,,,,,,,
1147,36.0820332,140.081074,,5.386325,2,2,0,0,1,-1,422.68009030927,-108.080093611041,,,,,,,,,,,,,,,,
1148,36.0820392,140.0810747,,7.671327,2,2,0,0,1,-1,422.743065440203,-107.412176666385,,,,,,,,,,,,,,,,
1149,36.082041,140.081075,,3.852931,2,2,0,0,1,-1,422.770054783493,-107.211801582989,,,,,,,,,,,,,,,,
1150,36.0820422,140.0810751,,214.237952,2,2,1,0,1,1,422.779051230404,-107.078218194058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,36.0820384,140.0810719,,355.798004,2,2,0,0,1,-1,422.491164911356,-107.501232258479,,,,,,,,,,,,,,,,
1152,36.0820395,140.0810718,,9.089936,2,2,0,0,1,-1,422.482168464445,-107.378780818757,,,,,,,,,,,,,,,,
1153,36.0820592,140.0810757,,352.712813,2,2,0,0,1,-1,422.833029914426,-105.185786850604,,,,,,,,,,,,,,,,
1154,36.082075,140.0810732,,38.294453,2,2,0,0,1,-1,422.608118728869,-103.426938896082,,,,,,,,,,,,,,,,
1155,36.0820924,140.0810902,,0.000000,2,2,0,0,1,-1,424.137514795774,-101.48997975579,,,,,,,,,,,,,,,,
1156,36.0821168,140.0810902,,13.276833,2,2,0,0,1,-1,424.137514795774,-98.7737841803318,,,,,,,,,,,,,,,,
1157,36.0821305,140.0810942,,91.740186,2,2,0,0,1,-1,424.497372692666,-97.2487071568341,,,,,,,,,,,,,,,,
1158,36.0821294,140.081139,,104.818525,2,2,0,0,1,-1,428.527781149108,-97.3711585965557,,,,,,,,,,,,,,,,
1159,36.0821198,140.0811839,,98.581025,2,2,0,0,1,-1,432.567186049903,-98.4398257080042,,,,,,,,,,,,,,,,
1160,36.0821143,140.081229,,93.673479,2,2,0,0,1,-1,436.624583849635,-99.0520829074033,,,,,,,,,,,,,,,,
1161,36.0821121,140.0812714,,98.076272,2,2,0,0,1,-1,440.439077564873,-99.2969857876376,,,,,,,,,,,,,,,,
1162,36.0821071,140.081315,,96.520910,2,2,0,0,1,-1,444.361528650713,-99.8535832409896,,,,,,,,,,,,,,,,
1163,36.0821031,140.0813583,,92.507954,2,2,0,0,1,-1,448.25699039582,-100.29886120462,,,,,,,,,,,,,,,,
1164,36.0821015,140.0814035,,92.356596,2,2,0,0,1,-1,452.323384639905,-100.476972389598,,,,,,,,,,,,,,,,
1165,36.0821,140.0814486,,98.282439,2,2,0,0,1,-1,456.38078243708,-100.643951626157,,,,,,,,,,,,,,,,
1166,36.0820946,140.0814945,,93.241164,2,2,0,0,1,-1,460.510151814655,-101.245076876347,,,,,,,,,,,,,,,,
1167,36.0820926,140.0815382,,95.474027,2,2,0,0,1,-1,464.441599347406,-101.467715858163,,,,,,,,,,,,,,,,
1168,36.0820892,140.0815821,,91.763793,2,2,0,0,1,-1,468.391039776536,-101.846202126537,,,,,,,,,,,,,,,,
1169,36.0820881,140.0816263,,86.808437,2,2,0,0,1,-1,472.367469546398,-101.968653566259,,,,,,,,,,,,,,,,
1170,36.0820902,140.0816729,,94.705592,2,2,0,0,1,-1,476.559814057464,-101.734882636025,,,,,,,,,,,,,,,,
1171,36.0820871,140.0817195,,89.245824,2,2,0,0,1,-1,480.752158565973,-102.079973057562,,,,,,,,,,,,,,,,
1172,36.0820876,140.0817665,,92.391688,2,2,0,0,1,-1,484.980488864683,-102.024313311515,,,,,,,,,,,,,,,,
1173,36.082086,140.0818139,,103.179612,2,2,0,0,1,-1,489.244804953593,-102.202424497283,,,,,,,,,,,,,,,,
1174,36.0820779,140.0818567,,99.298429,2,2,0,0,1,-1,493.095284461588,-103.104112372173,,,,,,,,,,,,,,,,
