label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node
463,36.0820498,140.0820724,0,305.383583,28460.993313,44502.235722,-223.052518,0.000000000,0.000000000,-0.952705029,-0.303896574,0,0,0,0,1,-1
464,36.0820626,140.0820501,0,292.109000,28458.980165,44503.649514,-223.053443,0.000000000,0.000000000,-0.981445241,-0.191742637,0,0,0,0,1,-1
465,36.0820735,140.08201689999999,0,292.413815,28455.985953,44504.849330,-223.048498,0.000000000,0.000000000,-0.980931732,-0.194352612,0,0,0,0,1,-1
466,36.0820742,140.0820148,0,278.731443,28455.796556,44504.926391,-223.048193,0.000000000,0.000000000,-0.997098473,-0.076122505,0,0,0,0,1,-1
467,36.0820795,140.0819721,0,283.376404,28451.948709,44505.502096,-223.035077,0.000000000,0.000000000,-0.993194653,-0.116466227,0,0,0,0,1,-1
468,36.0820854,140.0819414,0,283.376404,28449.181471,44506.147852,-223.027268,0.000000000,0.000000000,-0.993194653,-0.116466227,0,0,0,0,1,-1
469,36.0820854,140.0819414,0,271.648277,28449.181471,44506.147852,-223.027268,0.000000000,0.000000000,-0.999896553,-0.014383434,0,0,0,0,1,-1
470,36.0820856,140.0819328,0,272.443188,28448.406808,44506.167553,-223.023955,0.000000000,0.000000000,-0.999772720,-0.021319222,0,0,0,0,1,-1
471,36.082085899999996,140.08192409999998,0,276.418054,28447.623101,44506.198320,-223.020679,0.000000000,0.000000000,-0.998431957,-0.055978810,0,0,0,0,1,-1
472,36.0820863,140.0819197,0,245.217211,28447.226654,44506.241429,-223.019214,0.000000000,0.000000000,-0.976704519,0.214588634,0,0,0,0,1,-1
473,36.0820838,140.081913,0,282.521576,28446.624094,44505.962096,-223.014574,0.000000000,0.000000000,-0.994035822,-0.109054040,0,0,0,0,1,-1
474,36.0820845,140.0819091,0,279.786101,28446.272574,44506.038636,-223.013544,0.000000000,0.000000000,-0.996355649,-0.085296074,0,0,0,0,1,-1
475,36.0820868,140.0818926,0,284.557707,28444.785610,44506.289060,-223.008673,0.000000000,0.000000000,-0.991941272,-0.126698515,0,0,0,0,1,-1
476,36.0820919,140.0818683,0,249.941761,28442.595102,44506.847906,-223.002828,0.000000000,0.000000000,-0.984719372,0.174148665,0,0,0,0,1,-1
477,36.082090099999995,140.0818622,0,274.162981,28442.046330,44506.646416,-222.998973,0.000000000,0.000000000,-0.999340179,-0.036320872,0,0,0,0,1,-1
478,36.0820916,140.0818367,0,273.124637,28439.749036,44506.805469,-222.989854,0.000000000,0.000000000,-0.999628262,-0.027264223,0,0,0,0,1,-1
479,36.0820919,140.0818299,0,276.054122,28439.136460,44506.836788,-222.987345,0.000000000,0.000000000,-0.998604705,-0.052807607,0,0,0,0,1,-1
480,36.0820949,140.0817949,0,260.737606,28435.982973,44507.159527,-222.975560,0.000000000,0.000000000,-0.996735063,0.080741649,0,0,0,0,1,-1
481,36.0820886,140.0817471,0,258.347473,28431.679953,44506.446660,-222.951408,0.000000000,0.000000000,-0.994834282,0.101512324,0,0,0,0,1,-1
482,36.082085299999996,140.08172729999998,0,272.543295,28429.897779,44506.074771,-222.940869,0.000000000,0.000000000,-0.999753714,-0.022192614,0,0,0,0,1,-1
483,36.082086,140.0817078,0,260.543220,28428.141186,44506.146797,-222.933553,0.000000000,0.000000000,-0.996596664,0.082432331,0,0,0,0,1,-1
484,36.0820846,140.0816974,0,276.774214,28427.204975,44505.988447,-222.928276,0.000000000,0.000000000,-0.998253148,-0.059081743,0,0,0,0,1,-1
485,36.0820858,140.0816849,0,264.112864,28426.078683,44506.117979,-222.924169,0.000000000,0.000000000,-0.998680597,0.051352357,0,0,0,0,1,-1
486,36.0820849,140.0816741,0,273.278612,28425.106264,44506.014992,-222.919119,0.000000000,0.000000000,-0.999590725,-0.028607384,0,0,0,0,1,-1
487,36.0820854,140.0816633,0,270.000002,28424.133341,44506.067345,-222.915155,0.000000000,0.000000000,-1.000000000,-0.000000017,0,0,0,0,1,-1
