label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
10,35.6496264,139.50297,0,178.049984,-23827.737759,-3491.461238,-49.276695,0.000000000,0.000000000,-0.694972075,0.719036727,0,0,0,0,1,-1,37.9650911586136,-11.2432685702091,38.2894083379562,-11.7583821860219,5.81078291366983,0.608706554928171
11,35.6495906,139.5029715,0,180.261562,-23827.612550,-3495.433687,-49.278411,0.000000000,0.000000000,-0.708718951,0.705490928,0,0,0,0,1,-1,38.100777688499,-15.2285063405128,38.5768713657601,-15.7646662796842,6.14433683069741,0.717030452561314
12,35.6495728,139.5029714,0,221.928068,-23827.626892,-3497.408610,-49.279551,0.000000000,0.000000000,-0.913289959,0.407310018,0,0,0,0,1,-1,38.0917319203542,-17.2099932760597,38.496914544832,-17.7056986687005,6.28666523550854,0.640231829474245
13,35.6495709,139.5029693,0,241.323838,-23827.817632,-3497.618910,-49.280378,0.000000000,0.000000000,-0.968851352,0.247643004,0,0,1,0,1,1,37.9017707764578,-17.4215003086657,38.4392131668768,-17.787614926248,6.45933953575546,0.650295499159206
14,35.6495705,139.5029684,0,272.818105,-23827.899255,-3497.663072,-49.280707,0.000000000,0.000000000,-0.999697617,-0.024590127,0,0,0,0,1,-1,37.8203588580123,-17.4660281055034,38.2444363470027,-17.7766832150949,6.43354227871883,0.525688418917218
15,35.6495706,139.5029659,0,272.114330,-23828.125625,-3497.651371,-49.281546,0.000000000,0.000000000,-0.999829785,-0.018449963,0,0,0,0,1,-1,37.5942146415366,-17.454896156294,38.116703660518,-17.7448382761173,6.47472382233878,0.597545988024127
16,35.6495712,139.5029459,0,280.906953,-23829.936646,-3497.579948,-49.288265,0.000000000,0.000000000,-0.995473696,-0.095037471,0,0,0,0,1,-1,35.7850609045888,-17.3881044618285,36.3025412918276,-17.5334723538748,6.34266519716533,0.537510721023087
17,35.6495756,139.5029178,0,272.585750,-23832.480073,-3497.084941,-49.297485,0.000000000,0.000000000,-0.999745423,-0.022563011,0,0,0,0,1,-1,33.2431999067739,-16.898298702151,33.6527581439605,-16.9244427135128,5.99941011604428,0.410391835904967
18,35.649576,139.5029069,0,279.970895,-23833.467057,-3497.037916,-49.301143,0.000000000,0.000000000,-0.996216803,-0.086902717,0,0,0,0,1,-1,32.2572111198546,-16.8537709061043,32.7227458576277,-16.8643964717673,5.9094572083382,0.465655983231354
19,35.6495766,139.5029027,0,274.321321,-23833.847231,-3496.970325,-49.302525,0.000000000,0.000000000,-0.999289038,-0.037701702,0,0,0,0,1,-1,31.8772888346328,-16.7869792116387,32.3511419427376,-16.8882295977896,5.78573778105945,0.484549696890096
20,35.6495773,139.5028913,0,283.232745,-23834.879406,-3496.889893,-49.306333,0.000000000,0.000000000,-0.993339881,-0.115221006,0,0,0,0,1,-1,30.8460712044183,-16.7090555679638,31.2552499548633,-16.7126728618081,5.6833946062646,0.409194739250763
21,35.6495803,139.5028756,0,216.965365,-23836.300306,-3496.553227,-49.311452,0.000000000,0.000000000,-0.894799459,0.446468284,0,0,0,0,1,-1,29.4258855208372,-16.3750970956362,29.9121495676049,-16.5340596084491,5.39400910142966,0.511587532743579
22,35.6495505,139.502848,0,221.811473,-23838.808613,-3499.852902,-49.322632,0.000000000,0.000000000,-0.912875055,0.408239065,0,0,0,0,1,-1,26.9292533663174,-19.6924179212846,27.3620332457219,-19.7005931825028,5.47214112747739,0.432857088325229
23,35.6495237,139.5028185,0,237.713206,-23841.488095,-3502.819259,-49.334270,0.000000000,0.000000000,-0.960568835,0.278042288,0,0,0,0,1,-1,24.2607516041909,-22.6757802746054,24.5422840003939,-22.5640264064438,5.44667141481737,0.302901662525751
24,35.6495046,139.5027813,0,264.752824,-23844.862602,-3504.929415,-49.348033,0.000000000,0.000000000,-0.998951810,0.045774249,0,0,0,0,1,-1,20.8957256537766,-24.8019825482928,21.0090443085417,-24.5632180915514,5.27450080759402,0.264290717432128
25,35.6495041,139.5027746,0,279.818147,-23845.469503,-3504.983264,-49.350329,0.000000000,0.000000000,-0.996331757,-0.085574706,0,0,0,0,1,-1,20.2896591520791,-24.8576422935489,20.5000034478938,-24.5335928380729,5.34778207688629,0.386332463528645
26,35.649505,139.5027682,0,274.348958,-23846.048820,-3504.881854,-49.352437,0.000000000,0.000000000,-0.999279916,-0.037942708,0,0,0,0,1,-1,19.710729957387,-24.7574547522461,19.9600579427096,-24.591710867319,5.21898021288571,0.299391849681584
27,35.6495061,139.5027504,0,296.596871,-23847.660461,-3504.755485,-49.358386,0.000000000,0.000000000,-0.973185154,-0.230023164,0,0,0,0,1,-1,18.1005831324805,-24.6350033125245,18.200736749734,-24.3001624424075,5.0194652793939,0.349498433973141
28,35.6495227,139.5027096,0,322.890463,-23851.350375,-3502.903774,-49.371147,0.000000000,0.000000000,-0.895360469,-0.445342150,0,0,0,0,1,-1,14.4099095108553,-22.7870997651176,14.4921503301297,-22.4863472622407,4.41042346740492,0.311794195490576
29,35.6495517,139.5026826,0,347.527349,-23853.786873,-3499.679607,-49.378473,0.000000000,0.000000000,-0.779735075,-0.626109586,0,0,0,0,1,-1,11.9675519652045,-19.5588345323535,12.0236366324927,-19.2665454028445,3.75466816826265,0.297621278026194
30,35.6495866,139.5026731,0,357.628954,-23854.636817,-3495.805072,-49.379516,0.000000000,0.000000000,-0.721585320,-0.692325520,0,0,0,0,1,-1,11.1082039400258,-15.6737843033527,11.1172683886512,-15.3233415017941,3.18787657378578,0.350560011115294
31,35.6496023,139.5026723,0,290.728542,-23854.704598,-3494.062930,-49.378812,0.000000000,0.000000000,-0.983683849,-0.179905766,0,0,0,0,1,-1,11.0358377922962,-13.9260682980396,10.9417667424984,-13.5899669230483,2.89094696586589,0.349017903095346
32,35.6496158,139.5026284,0,278.263233,-23858.676163,-3492.554415,-49.392821,0.000000000,0.000000000,-0.997401178,-0.072047833,0,0,0,0,1,-1,7.06474534018432,-12.4232551721698,7.15219196640919,-12.2461636939586,2.37939091077937,0.19750520016731
33,35.6496177,139.5026123,0,271.708820,-23860.133612,-3492.339695,-49.398149,0.000000000,0.000000000,-0.999888814,-0.014911715,0,0,0,0,1,-1,5.60837658145289,-12.2117481395638,5.62071156844496,-12.0033348769086,2.18104400492074,0.20877796807777
34,35.6496181,139.5025958,0,282.808160,-23861.627731,-3492.291306,-49.403706,0.000000000,0.000000000,-0.993759979,-0.111539698,0,0,0,0,1,-1,4.11582475014212,-12.1672203435171,4.33182642468587,-11.8833100852674,2.28677347345792,0.356737660116117
35,35.6496227,139.5025709,0,271.484085,-23863.881304,-3491.774878,-49.411844,0.000000000,0.000000000,-0.999916136,-0.012950723,0,0,0,0,1,-1,1.86342834838774,-11.6551506854207,1.89568479149357,-11.3276506189666,1.92096467351638,0.329084748430041
36,35.6496231,139.5025519,0,287.167073,-23865.601823,-3491.725881,-49.418247,0.000000000,0.000000000,-0.988799308,-0.149251226,0,0,0,0,1,-1,0.144732298030274,-11.610622889374,0.382961860973309,-11.2748917646039,2.05109759656699,0.411665778027998
37,35.6496292,139.5025276,0,268.633803,-23867.800613,-3491.043169,-49.426091,0.000000000,0.000000000,-0.999928930,0.011922035,0,0,0,0,1,-1,-2.05338948971316,-10.9315739955094,-1.92756848479927,-10.6195813803971,1.8006025209614,0.336407962394093
38,35.6496287,139.5025018,0,306.209468,-23870.137206,-3491.092376,-49.434852,0.000000000,0.000000000,-0.950490059,-0.310754964,0,0,0,0,1,-1,-4.38719780991299,-10.9872337407655,-3.99046280386505,-10.7252791132525,2.11943514196007,0.475414442249433
39,35.6496334,139.5024939,0,5.215385,-23870.851231,-3490.568981,-49.437234,0.000000000,0.000000000,0.674203237,0.738545865,0,0,0,0,1,-1,-5.10181353706145,-10.4640321342507,-4.86380330307804,-10.1624020842079,1.90060435726487,0.384225921262066
40,35.6496699,139.502498,0,14.248301,-23870.469077,-3486.520226,-49.433584,0.000000000,0.000000000,0.613952542,0.789342939,0,0,0,0,1,-1,-4.73093701998448,-6.40087072027204,-4.47789723868516,-6.15456975923183,1.31514656079615,0.353119376881726
41,35.6497051,139.502509,0,45.580416,-23869.462448,-3482.617385,-49.427681,0.000000000,0.000000000,0.377999015,0.925805997,0,0,0,0,1,-1,-3.73590246492031,-2.48242464443387,-3.50236558701762,-2.18224599734424,0.651055672021889,0.38032445820522
42,35.6497223,139.5025306,0,85.411377,-23867.501240,-3480.714257,-49.419308,0.000000000,0.000000000,0.040032589,0.999198375,0,0,0,0,1,-1,-1.78201642994228,-0.567729402561483,-1.69482787185648,-0.265397715980317,0.154851548736845,0.314652655116867
43,35.6497235,139.502549,0,85.411377,-23865.834584,-3480.585585,-49.413008,0.000000000,0.000000000,0.040032589,0.999198375,0,0,0,0,1,1,-0.117594993595764,-0.434146013630432,-0.017289668076532,-0.112071656000777,0.341725792705561,0.337332254861693
