label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,,,,,,,,,,,,,,,,
1056,36.0822273,140.0827606,0,196.069658,2,2,0,0,1,-1,574.414172916841,-86.4729804478837,,,,,,,,,,,,,,,,
1057,36.0822172,140.082757,0,183.503573,2,2,0,0,1,-1,574.090300807592,-87.5973073053791,,,,,,,,,,,,,,,,
1058,36.082204,140.082756,0,188.693062,2,2,0,0,1,-1,574.000336333369,-89.0667245836207,,,,,,,,,,,,,,,,
1059,36.0821929,140.0827539,0,199.406369,2,2,0,0,1,-1,573.811410938012,-90.3023709316284,,,,,,,,,,,,,,,,
1060,36.082189,140.0827522,0,186.912009,2,2,0,0,1,-1,573.658471330299,-90.7365169452589,,,,,,,,,,,,,,,,
1061,36.082173,140.0827498,0,196.076232,2,2,0,0,1,-1,573.442556591652,-92.5176287982002,,,,,,,,,,,,,,,,
1062,36.0821601,140.0827452,0,183.512423,2,2,0,0,1,-1,573.028720010738,-93.9536502296045,,,,,,,,,,,,,,,,
1063,36.0821522,140.0827446,0,167.838033,2,2,0,0,1,-1,572.974741324158,-94.8330742068658,,,,,,,,,,,,,,,,
1064,36.0821447,140.0827466,0,161.362063,2,2,0,0,1,-1,573.154670275161,-95.6679703872893,,,,,,,,,,,,,,,,
1065,36.0820062,140.0828044,0,290.149192,2,2,0,0,1,-1,578.354616896502,-111.08571986278,,,,,,,,,,,,,,,,
1066,36.0820199,140.0827582,0,294.001551,2,2,0,0,1,-1,574.198258178194,-109.560642838492,,,,,,,,,,,,,,,,
1067,36.0820389,140.0827054,0,287.085810,2,2,0,0,1,-1,569.448133925411,-107.445572513223,,,,,,,,,,,,,,,,
1068,36.0820506,140.0826583,0,287.153805,2,2,0,0,1,-1,565.210807179791,-106.14313447154,,,,,,,,,,,,,,,,
1069,36.0820621,140.0826122,0,280.741897,2,2,0,0,1,-1,561.063444908393,-104.862960326695,,,,,,,,,,,,,,,,
1070,36.0820688,140.0825685,0,286.789988,2,2,0,0,1,-1,557.131997375642,-104.117119738365,,,,,,,,,,,,,,,,
1071,36.0820797,140.0825238,0,275.725069,2,2,0,0,1,-1,553.110585366112,-102.903737288776,,,,,,,,,,,,,,,,
1072,36.0820835,140.0824769,0,277.485835,2,2,0,0,1,-1,548.891251514313,-102.480723224355,,,,,,,,,,,,,,,,
1073,36.0820883,140.0824317,0,272.535997,2,2,0,0,1,-1,544.824857270228,-101.946389668631,,,,,,,,,,,,,,,,
1074,36.0820899,140.082387,0,276.058647,2,2,0,0,1,-1,540.803445260697,-101.768278482862,,,,,,,,,,,,,,,,
1075,36.0820937,140.0823427,0,274.153969,2,2,0,0,1,-1,536.818019043923,-101.34526441765,,,,,,,,,,,,,,,,
1076,36.0820964,140.0822967,0,278.893580,2,2,0,0,1,-1,532.679653219437,-101.044701792951,,,,,,,,,,,,,,,,
1077,36.0821018,140.082254,0,268.062837,2,2,0,0,1,-1,528.838170160909,-100.443576542761,,,,,,,,,,,,,,,,
1078,36.0821006,140.0822101,0,276.823387,2,2,0,0,1,-1,524.888729731779,-100.577159931692,,,,,,,,,,,,,,,,
1079,36.082105,140.0821646,0,275.887155,2,2,0,0,1,-1,520.795346144404,-100.087354172014,,,,,,,,,,,,,,,,
1080,36.082109,140.0821166,0,272.275273,2,2,0,0,1,-1,516.477051371472,-99.6420762091746,,,,,,,,,,,,,,,,
1081,36.0821104,140.082073,0,279.174823,2,2,0,0,1,-1,512.554600283075,-99.4862289218247,,,,,,,,,,,,,,,,
1082,36.0821163,140.0820278,0,275.437124,2,2,0,0,1,-1,508.48820603899,-98.8294439263789,,,,,,,,,,,,,,,,
1083,36.0821197,140.0819836,0,279.868409,2,2,0,0,1,-1,504.511776269127,-98.4509576572136,,,,,,,,,,,,,,,,
1084,36.0821259,140.0819395,0,277.828201,2,2,0,0,1,-1,500.544342946176,-97.7607768141395,,,,,,,,,,,,,,,,
1085,36.0821308,140.0818954,0,278.566351,2,2,0,0,1,-1,496.576909623224,-97.2153113092059,,,,,,,,,,,,,,,,
1086,36.0821364,140.0818494,0,257.588524,2,2,0,0,1,-1,492.438543796181,-96.5919221613883,,,,,,,,,,,,,,,,
1087,36.0821266,140.0817943,0,268.628107,2,2,0,0,1,-1,487.481501254219,-97.6828531712555,,,,,,,,,,,,,,,,
1088,36.0821257,140.0817478,0,251.295541,2,2,0,0,1,-1,483.298153192621,-97.7830407125583,,,,,,,,,,,,,,,,
1089,36.0821118,140.081697,0,254.804225,2,2,0,0,1,-1,478.727957890841,-99.3303816344748,,,,,,,,,,,,,,,,
1090,36.082101,140.0816478,0,265.853802,2,2,0,0,1,-1,474.301705747307,-100.532632134854,,,,,,,,,,,,,,,,
1091,36.0820981,140.0815983,0,262.006346,2,2,0,0,1,-1,469.84846426304,-100.855458658763,,,,,,,,,,,,,,,,
1092,36.0820928,140.0815516,0,261.684297,2,2,0,0,1,-1,465.647123305063,-101.445451959744,,,,,,,,,,,,,,,,
1093,36.082087,140.0815025,0,279.086409,2,2,0,0,1,-1,461.229867610996,-102.09110500598,,,,,,,,,,,,,,,,
1094,36.0820927,140.0814584,0,266.018572,2,2,0,0,1,-1,457.262434288045,-101.456583908953,,,,,,,,,,,,,,,,
1095,36.08209,140.0814104,0,263.279073,2,2,0,0,1,-1,452.944139512556,-101.757146533653,,,,,,,,,,,,,,,,
1096,36.0820854,140.0813621,0,271.230113,2,2,0,0,1,-1,448.59885539889,-102.269216191749,,,,,,,,,,,,,,,,
1097,36.0820862,140.081316,0,273.717955,2,2,0,0,1,-1,444.451493124936,-102.180160598865,,,,,,,,,,,,,,,,
1098,36.0820886,140.0812703,0,273.948657,2,2,0,0,1,-1,440.340116643739,-101.912993821002,,,,,,,,,,,,,,,,
1099,36.0820913,140.0812219,0,272.827573,2,2,0,0,1,-1,435.985836080606,-101.612431195512,,,,,,,,,,,,,,,,
1100,36.0820932,140.0811743,0,277.372939,2,2,0,0,1,-1,431.703527095317,-101.400924163697,,,,,,,,,,,,,,,,
1101,36.082098,140.0811284,0,268.421452,2,2,0,0,1,-1,427.574157717741,-100.866590607973,,,,,,,,,,,,,,,,
1102,36.082097,140.0810835,0,208.315019,2,2,0,0,1,-1,423.534752816945,-100.977910098485,,,,,,,,,,,,,,,,
1103,36.0820889,140.0810781,0,178.253184,2,2,0,0,1,-1,423.048944653073,-101.879597974165,,,,,,,,,,,,,,,,
1104,36.0820783,140.0810785,0,199.406396,2,2,1,0,1,1,423.084930443273,-103.059584576126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,36.0820705,140.0810751,0,190.283143,2,2,0,0,1,-1,422.779051230404,-103.927876604178,,,,,,,,,,,,,,,,
1106,36.0820607,140.0810729,0,177.498618,2,2,0,0,1,-1,422.581129385579,-105.018807614045,,,,,,,,,,,,,,,,
1107,36.0820533,140.0810733,0,186.955068,2,2,0,0,1,-1,422.61711517578,-105.84257184605,,,,,,,,,,,,,,,,
1108,36.0820427,140.0810717,0,178.487116,2,2,0,0,1,-1,422.473172017534,-107.022558448802,,,,,,,,,,,,,,,,
1109,36.0820274,140.0810722,0,191.422482,2,2,0,0,1,-1,422.518154254646,-108.725746657277,,,,,,,,,,,,,,,,
1110,36.0820014,140.0810657,0,163.475860,2,2,0,0,1,-1,421.933385169639,-111.620053418505,,,,,,,,,,,,,,,,
1111,36.0819935,140.0810686,0,214.082741,2,2,0,0,1,-1,422.194282145397,-112.499477395766,,,,,,,,,,,,,,,,
1112,36.0819892,140.081065,0,262.099594,2,2,0,0,1,-1,421.870410038706,-112.978151206234,,,,,,,,,,,,,,,,
1113,36.0819856,140.0810329,0,307.716477,2,2,0,0,1,-1,418.982550408987,-113.378901373027,,,,,,,,,,,,,,,,
1114,36.0819876,140.0810297,0,279.235057,2,2,0,0,1,-1,418.69466408994,-113.156262391212,,,,,,,,,,,,,,,,
1115,36.0819935,140.0809848,0,276.621872,2,2,0,0,1,-1,414.655259186587,-112.499477395766,,,,,,,,,,,,,,,,
