label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y
2020,36.0811972,140.0797636,0,182.415613,28253.347411,44406.967084,-221.464169,0.000000000,0.000000000,-0.721854525,0.692044828,2,2,0,0,1,-1,304.790642990311,-201.143187914174
2021,36.0811608,140.0797617,0,184.939474,28253.189301,44402.927694,-221.435254,0.000000000,0.000000000,-0.736920395,0.675979535,2,2,0,0,1,-1,304.619710488776,-205.195217378944
2022,36.0811262,140.079758,0,184.117815,28252.868421,44399.087510,-221.407013,0.000000000,0.000000000,-0.732054498,0.681246073,2,2,0,0,1,-1,304.286841932617,-209.046871760316
2023,36.0810914,140.0797549,0,185.386392,28252.601654,44395.225307,-221.378860,0.000000000,0.000000000,-0.739551168,0.673100342,2,2,0,0,1,-1,304.00795206048,-212.920790040108
2024,36.0810554,140.0797507,0,192.000042,28252.236239,44391.229638,-221.349340,0.000000000,0.000000000,-0.777146192,0.629320106,2,2,0,0,1,-1,303.630101269766,-216.92829170883
2025,36.0810208,140.0797416,0,180.273996,28251.428980,44387.387901,-221.318943,0.000000000,0.000000000,-0.708795497,0.705414022,2,2,0,0,1,-1,302.811424552291,-220.779946090203
2026,36.080987,140.0797414,0,182.161599,28251.423058,44383.637489,-221.292732,0.000000000,0.000000000,-0.720318704,0.693643255,2,2,0,0,1,-1,302.793431655912,-224.542544878691
2027,36.0809506,140.0797397,0,178.616133,28251.282960,44379.598156,-221.263912,0.000000000,0.000000000,-0.698516039,0.715594399,2,2,0,0,1,-1,302.640492050756,-228.59457434346
2028,36.0809138,140.0797408,0,171.431200,28251.395202,44375.515247,-221.235907,0.000000000,0.000000000,-0.652304798,0.757956760,2,2,0,0,1,-1,302.73945297189,-232.691131605067
2029,36.0808784,140.0797474,0,171.488051,28252.002329,44371.589259,-221.211190,0.000000000,0.000000000,-0.652680754,0.757633047,2,2,0,0,1,-1,303.333218503807,-236.631841579324
