label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
729,36.0812228,140.0809164,0,278.792154,28357.170702,44410.139769,-221.946565,0.000000000,0.000000000,-0.997058003,-0.076650760,2,2,0,0,1,-1,408.501689136436,-198.293408949785,408.045499056145,-197.892521347744,51.6448716406586,0.607305737520859
730,36.081223,140.0809148,0,274.162928,28357.026518,44410.161499,-221.946077,0.000000000,0.000000000,-0.999340196,-0.036320410,2,2,0,0,1,-1,408.357745975634,-198.271145051366,407.842986037626,-197.81937449729,51.64586104635,0.684890084106686
731,36.0812231,140.0809131,0,268.135020,28356.873364,44410.172104,-221.945471,0.000000000,0.000000000,-0.999867565,0.016274302,2,2,0,0,1,-1,408.204806370478,-198.260013102947,407.787043106545,-197.83386856929,51.653327574259,0.596762354926645
732,36.0812224,140.0808865,0,281.328215,28354.477759,44410.086755,-221.934236,0.000000000,0.000000000,-0.995117593,-0.098696385,2,2,0,0,1,-1,405.811751348986,-198.337936745831,405.343801983727,-197.785971078008,51.4981928134768,0.72363160993827
733,36.0812241,140.080876,0,255.836946,28353.531416,44410.272352,-221.931330,0.000000000,0.000000000,-0.992371737,0.123281528,2,2,0,0,1,-1,404.867124367087,-198.148693611644,404.430408657892,-197.562912799073,51.4367737523463,0.730657081697385
734,36.081221,140.0808608,0,281.375709,28352.163468,44409.923997,-221.922823,0.000000000,0.000000000,-0.995076601,-0.099108817,2,2,0,0,1,-1,403.499664354806,-198.493784033181,402.977345335949,-198.008098489586,51.1845152695175,0.713237411187865
735,36.081225,140.0808362,0,272.200617,28349.946316,44410.360726,-221.916030,0.000000000,0.000000000,-0.999815609,-0.019202826,2,2,0,0,1,-1,401.286538284318,-198.048506070341,400.075229265,-199.70973450488,48.7242538424645,2.05595463276785
736,36.0812255,140.0808201,0,287.070574,28348.496013,44410.411558,-221.909946,0.000000000,0.000000000,-0.988924644,-0.148418493,2,2,0,0,1,-1,399.838110244724,-197.992846325085,398.454127297224,-199.878623335981,48.2935110784933,2.33913739096153
737,36.0812289,140.0808064,0,273.066106,28347.260836,44410.784859,-221.907070,0.000000000,0.000000000,-0.999642058,-0.026753630,2,2,0,0,1,-1,398.605596946335,-197.61436005592,397.549375061144,-198.822023377922,48.9008158901322,1.60438629078709
738,36.0812299,140.0807833,0,276.931081,28345.179866,44410.889151,-221.898561,0.000000000,0.000000000,-0.998171334,-0.060448219,2,2,0,0,1,-1,396.527417587181,-197.503040565408,395.92894141965,-198.307836916726,49.2594028377252,1.00293114928033
739,36.0812327,140.0807548,0,278.445644,28342.611872,44411.191607,-221.889274,0.000000000,0.000000000,-0.997285226,-0.073635441,2,2,0,0,1,-1,393.963430064154,-197.191345990708,393.35186717913,-198.588447593928,48.462987603067,1.52509083403553
740,36.081233,140.0807523,0,274.094359,28342.386590,44411.224173,-221.888502,0.000000000,0.000000000,-0.999361751,-0.035722421,2,2,0,0,1,-1,393.738518878596,-197.157950143871,392.997797685117,-198.558431324859,48.3710355842348,1.584302819783
741,36.0812337,140.0807402,0,278.445645,28341.296495,44411.298352,-221.884182,0.000000000,0.000000000,-0.997285225,-0.073635449,2,2,0,0,1,-1,392.649948735896,-197.080026500196,391.893550573151,-198.134544051039,48.5489577838071,1.29774629478908
742,36.081234,140.0807377,0,275.289958,28341.071213,44411.330918,-221.883409,0.000000000,0.000000000,-0.998934651,-0.046147198,2,2,0,0,1,-1,392.425037550338,-197.046630653359,391.652083865034,-198.023137626789,48.5839662658876,1.24540084662838
743,36.0812351,140.080723,0,273.515176,28339.746792,44411.448730,-221.878354,0.000000000,0.000000000,-0.999529538,-0.030670887,2,2,0,0,1,-1,391.102559777725,-196.924179212846,390.516414648183,-197.720818375053,48.6924118266019,0.989039972724736
744,36.0812358,140.0807089,0,280.409767,28338.476557,44411.522332,-221.873231,0.000000000,0.000000000,-0.995876670,-0.090717462,2,2,0,0,1,-1,389.834060686578,-196.846255569171,389.03095268261,-197.936740790029,48.1969301860013,1.35430442772186
745,36.0812392,140.080686,0,264.819310,28336.412740,44411.892981,-221.866661,0.000000000,0.000000000,-0.998978200,0.045194649,2,2,0,0,1,-1,387.773874221246,-196.467769300797,386.869997340824,-197.764386117109,47.7398758151817,1.58057223286571
746,36.0812375,140.0806628,0,290.365092,28334.323731,44411.697661,-221.856026,0.000000000,0.000000000,-0.984249508,-0.176784917,2,2,0,0,1,-1,385.686698415181,-196.657012434984,384.825334375885,-197.860671211757,47.6399248969567,1.48011569111838
747,36.0812438,140.0806418,0,265.066101,28332.430006,44412.390634,-221.852465,0.000000000,0.000000000,-0.999073217,0.043043089,2,2,0,0,1,-1,383.797444451384,-195.955699643491,382.938412075125,-197.021056370619,47.5336084691966,1.36854725146672
748,36.0812432,140.0806332,0,290.956214,28331.655621,44412.321580,-221.848546,0.000000000,0.000000000,-0.983324469,-0.181859806,2,2,0,0,1,-1,383.02374997102,-196.022491337957,382.092393547154,-196.983064854989,47.5132085726921,1.33795600447138
749,36.0812458,140.0806248,0,266.087309,28330.898102,44412.607646,-221.847184,0.000000000,0.000000000,-0.999417127,0.034138036,2,2,0,0,1,-1,382.268048384479,-195.733060661676,381.471628106552,-196.238750571993,47.8834427433163,0.94340211176807
750,36.0812436,140.080585,0,280.618352,28327.314115,44412.352062,-221.829498,0.000000000,0.000000000,-0.995709892,-0.092530053,2,2,0,0,1,-1,378.687462301709,-195.977963541119,378.21252073351,-195.887192948872,48.2103787996631,0.48353778923655
751,36.0812461,140.0805685,0,265.484190,28325.827067,44412.624697,-221.824805,0.000000000,0.000000000,-0.999223610,0.039397677,2,2,0,0,1,-1,377.203048474472,-195.699664814048,376.746426372216,-195.869444558092,47.8299502423393,0.4871641466248
752,36.0812455,140.0805591,0,278.242531,28324.980627,44412.555412,-221.820567,0.000000000,0.000000000,-0.997414178,-0.071867643,2,2,0,0,1,-1,376.357382413707,-195.766456508513,376.104031363706,-196.177589301136,47.6434309839611,0.48292538523714
