label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,,,,,,,,,,,,,,,,
1066,36.0820199,140.0827582,0,294.001551,28522.773312,44499.117018,-223.306355,0.000000000,0.000000000,-0.978144787,-0.207924930,2,2,0,0,1,-1,574.198258178194,-109.560642838492,,,,,,,,,,,,,,,,
1067,36.0820389,140.0827054,0,287.085810,28518.010815,44501.209875,-223.299733,0.000000000,0.000000000,-0.988904901,-0.148549978,2,2,0,0,1,-1,569.448133925411,-107.445572513223,,,,,,,,,,,,,,,,
1068,36.0820506,140.0826583,0,287.153805,28513.764349,44502.494402,-223.289761,0.000000000,0.000000000,-0.988816583,-0.149136736,2,2,0,0,1,-1,565.210807179791,-106.14313447154,,,,,,,,,,,,,,,,
1069,36.0820621,140.0826122,0,280.741897,28509.608024,44503.757029,-223.280041,0.000000000,0.000000000,-0.995609554,-0.093603507,2,2,0,0,1,-1,561.063444908393,-104.862960326695,,,,,,,,,,,,,,,,
1070,36.0820688,140.0825685,0,286.789988,28505.669599,44504.487760,-223.267573,0.000000000,0.000000000,-0.989285093,-0.145996594,2,2,0,0,1,-1,557.131997375642,-104.117119738365,,,,,,,,,,,,,,,,
1071,36.0820797,140.0825238,0,275.725069,28501.639589,44505.684224,-223.257960,0.000000000,0.000000000,-0.998752226,-0.049939870,2,2,0,0,1,-1,553.110585366112,-102.903737288776,,,,,,,,,,,,,,,,
1072,36.0820835,140.0824769,0,277.485835,28497.413992,44506.092254,-223.241956,0.000000000,0.000000000,-0.997867000,-0.065279780,2,2,0,0,1,-1,548.891251514313,-102.480723224355,,,,,,,,,,,,,,,,
1073,36.0820883,140.0824317,0,272.535997,28493.341151,44506.611737,-223.227417,0.000000000,0.000000000,-0.999755125,-0.022128942,2,2,0,0,1,-1,544.824857270228,-101.946389668631,,,,,,,,,,,,,,,,
1074,36.0820899,140.082387,0,276.058647,28489.314499,44506.776303,-223.210603,0.000000000,0.000000000,-0.998602619,-0.052847040,2,2,0,0,1,-1,540.803445260697,-101.768278482862,,,,,,,,,,,,,,,,
1075,36.0820937,140.0823427,0,274.153969,28485.323081,44507.185094,-223.195658,0.000000000,0.000000000,-0.999343033,-0.036242279,2,2,0,0,1,-1,536.818019043923,-101.34526441765,,,,,,,,,,,,,,,,
1076,36.0820964,140.0822967,0,278.893580,28481.178944,44507.471340,-223.179176,0.000000000,0.000000000,-0.996989768,-0.077533235,2,2,0,0,1,-1,532.679653219437,-101.044701792951,,,,,,,,,,,,,,,,
1077,36.0821018,140.082254,0,268.062837,28477.331060,44508.058129,-223.166122,0.000000000,0.000000000,-0.999857115,0.016904131,2,2,0,0,1,-1,528.838170160909,-100.443576542761,,,,,,,,,,,,,,,,
1078,36.0821006,140.0822101,0,276.823387,28473.377474,44507.912255,-223.147470,0.000000000,0.000000000,-0.998227703,-0.059510103,2,2,0,0,1,-1,524.888729731779,-100.577159931692,,,,,,,,,,,,,,,,
1079,36.082105,140.0821646,0,275.887155,28469.277759,44508.387279,-223.132515,0.000000000,0.000000000,-0.998680589,-0.051352522,2,2,0,0,1,-1,520.795346144404,-100.087354172014,,,,,,,,,,,,,,,,
1080,36.082109,140.0821166,0,272.275273,28464.953016,44508.817197,-223.116245,0.000000000,0.000000000,-0.999802886,-0.019854198,2,2,0,0,1,-1,516.477051371472,-99.6420762091746,,,,,,,,,,,,,,,,
1081,36.0821104,140.082073,0,279.174823,28461.025514,44508.959904,-223.099737,0.000000000,0.000000000,-0.996796475,-0.079979919,2,2,0,0,1,-1,512.554600283075,-99.4862289218247,,,,,,,,,,,,,,,,
1082,36.0821163,140.0820278,0,275.437124,28456.952280,44509.601457,-223.086075,0.000000000,0.000000000,-0.998874562,-0.047430057,2,2,0,0,1,-1,508.48820603899,-98.8294439263789,,,,,,,,,,,,,,,,
1083,36.0821197,140.0819836,0,279.868409,28452.970016,44509.965908,-223.070880,0.000000000,0.000000000,-0.996294126,-0.086011707,2,2,0,0,1,-1,504.511776269127,-98.4509576572136,,,,,,,,,,,,,,,,
1084,36.0821259,140.0819395,0,277.828201,28448.995750,44510.641070,-223.057899,0.000000000,0.000000000,-0.997667510,-0.068260819,2,2,0,0,1,-1,500.544342946176,-97.7607768141395,,,,,,,,,,,,,,,,
1085,36.0821308,140.0818954,0,278.566351,28445.021954,44511.171989,-223.043913,0.000000000,0.000000000,-0.997207108,-0.074685907,2,2,0,0,1,-1,496.576909623224,-97.2153113092059,,,,,,,,,,,,,,,,
1086,36.0821364,140.0818494,0,257.588524,28440.876775,44511.780030,-223.029706,0.000000000,0.000000000,-0.994140143,0.108098916,2,2,0,0,1,-1,492.438543796181,-96.5919221613883,,,,,,,,,,,,,,,,
1087,36.0821266,140.0817943,0,268.628107,28435.917517,44510.676697,-222.999894,0.000000000,0.000000000,-0.999928336,0.011971739,2,2,0,0,1,-1,487.481501254219,-97.6828531712555,,,,,,,,,,,,,,,,
1088,36.0821257,140.0817478,0,251.295541,28431.729644,44510.563376,-222.980452,0.000000000,0.000000000,-0.986707992,0.162503349,2,2,0,0,1,-1,483.298153192621,-97.7830407125583,,,,,,,,,,,,,,,,
1089,36.0821118,140.081697,0,254.804225,28427.159156,44509.006368,-222.949201,0.000000000,0.000000000,-0.991220416,0.132219844,2,2,0,0,1,-1,478.727957890841,-99.3303816344748,,,,,,,,,,,,,,,,
1090,36.082101,140.0816478,0,265.853802,28422.731660,44507.793793,-222.921002,0.000000000,0.000000000,-0.999345488,0.036174509,2,2,0,0,1,-1,474.301705747307,-100.532632134854,,,,,,,,,,,,,,,,
1091,36.0820981,140.0815983,0,262.006346,28418.274299,44507.457696,-222.898810,0.000000000,0.000000000,-0.997567912,0.069701229,2,2,0,0,1,-1,469.84846426304,-100.855458658763,,,,,,,,,,,,,,,,
1092,36.0820928,140.0815516,0,261.684297,28414.069994,44506.856113,-222.875888,0.000000000,0.000000000,-0.997368084,0.072504523,2,2,0,0,1,-1,465.647123305063,-101.445451959744,,,,,,,,,,,,,,,,
1093,36.082087,140.0815025,0,279.086409,28409.649704,44506.198360,-222.851615,0.000000000,0.000000000,-0.996857887,-0.079210810,2,2,0,0,1,-1,461.229867610996,-102.09110500598,,,,,,,,,,,,,,,,
1094,36.0820927,140.0814584,0,266.018572,28405.675620,44506.818062,-222.838273,0.000000000,0.000000000,-0.999396470,0.034737524,2,2,0,0,1,-1,457.262434288045,-101.456583908953,,,,,,,,,,,,,,,,
1095,36.08209,140.0814104,0,263.279073,28401.353289,44506.504599,-222.816852,0.000000000,0.000000000,-0.998280514,0.058617532,2,2,0,0,1,-1,452.944139512556,-101.757146533653,,,,,,,,,,,,,,,,
1096,36.0820854,140.0813621,0,271.230113,28397.004621,44505.980231,-222.793840,0.000000000,0.000000000,-0.999942383,-0.010734555,2,2,0,0,1,-1,448.59885539889,-102.269216191749,,,,,,,,,,,,,,,,
1097,36.0820862,140.081316,0,273.717955,28392.852162,44506.055671,-222.775902,0.000000000,0.000000000,-0.999473698,-0.032439586,2,2,0,0,1,-1,444.451493124936,-102.180160598865,,,,,,,,,,,,,,,,
1098,36.0820886,140.0812703,0,273.948657,28388.735155,44506.308761,-222.759369,0.000000000,0.000000000,-0.999406364,-0.034451714,2,2,0,0,1,-1,440.340116643739,-101.912993821002,,,,,,,,,,,,,,,,
1099,36.0820913,140.0812219,0,272.827573,28384.374855,44506.594359,-222.741984,0.000000000,0.000000000,-0.999695582,-0.024672725,2,2,0,0,1,-1,435.985836080606,-101.612431195512,,,,,,,,,,,,,,,,
1100,36.0820932,140.0811743,0,277.372939,28380.086898,44506.791424,-222.724304,0.000000000,0.000000000,-0.997930830,-0.064296647,2,2,0,0,1,-1,431.703527095317,-101.400924163697,,,,,,,,,,,,,,,,
1101,36.082098,140.0811284,0,268.421452,28375.951016,44507.310759,-222.709559,0.000000000,0.000000000,-0.999905120,0.013774994,2,2,0,0,1,-1,427.574157717741,-100.866590607973,,,,,,,,,,,,,,,,
